currency_code,fiscal_year,fiscal_period,rate_type,rate_to_group_currency,source,approved_by,approved_at
MYR,2026,7,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-14T00:00:00
MYR,2026,7,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-14T00:00:00
SGD,2026,7,period_end,3.30,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-14T00:00:00
SGD,2026,7,period_average,3.30,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-14T00:00:00
MYR,2025,8,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
MYR,2025,8,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
SGD,2025,8,period_end,3.2884,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
SGD,2025,8,period_average,3.2884,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
MYR,2025,9,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
MYR,2025,9,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
SGD,2025,9,period_end,3.2599,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
SGD,2025,9,period_average,3.2599,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
MYR,2025,10,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
MYR,2025,10,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
SGD,2025,10,period_end,3.2464,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
SGD,2025,10,period_average,3.2464,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
MYR,2025,11,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
MYR,2025,11,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
SGD,2025,11,period_end,3.2298,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
SGD,2025,11,period_average,3.2298,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
MYR,2025,12,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
MYR,2025,12,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
SGD,2025,12,period_end,3.2439,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
SGD,2025,12,period_average,3.2439,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
MYR,2026,1,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
MYR,2026,1,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
SGD,2026,1,period_end,3.2546,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
SGD,2026,1,period_average,3.2546,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
MYR,2026,2,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
MYR,2026,2,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
SGD,2026,2,period_end,3.2781,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
SGD,2026,2,period_average,3.2781,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
MYR,2026,3,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
MYR,2026,3,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
SGD,2026,3,period_end,3.2533,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
SGD,2026,3,period_average,3.2533,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
MYR,2026,4,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
MYR,2026,4,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
SGD,2026,4,period_end,3.2486,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
SGD,2026,4,period_average,3.2486,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
MYR,2026,5,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
MYR,2026,5,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
SGD,2026,5,period_end,3.2204,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
SGD,2026,5,period_average,3.2204,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
MYR,2026,6,period_end,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
MYR,2026,6,period_average,1.0,identity (group reporting currency),Kenneth Yong,2026-08-15T00:00:00
SGD,2026,6,period_end,3.2035,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
SGD,2026,6,period_average,3.2035,placeholder -- pending Finance-provided rate,Kenneth Yong,2026-08-15T00:00:00
